|time | inM  |  instruction   |reset| outM  |writeM|address| pc  |
| 0+  |     0|0011000000111001|  0  |      0|   0  |     0 |    0|
| 1   |     0|0011000000111001|  0  |      0|   0  | 12345 |    0|
| 1+  |     0|1110110000010000|  0  |  12345|   0  | 12345 |    0|
| 2   |     0|1110110000010000|  0  |  12345|   0  | 12345 |    1|
| 2+  |     0|0101101110100000|  0  |     -1|   0  | 12345 |    1|
| 3   |     0|0101101110100000|  0  |     -1|   0  | 23456 |    2|
| 3+  |     0|1110000111110000|  0  |  11111|   0  | 23456 |    2|
| 4   |     0|1110000111110000|  0  |      0|   0  | 11111 |    3|
| 4+  |     0|0000001111101011|  0  | -11111|   0  | 11111 |    3|
| 5   |     0|0000001111101011|  0  | -11111|   0  |  1003 |    4|
